,INICIO,FIN,TIPO / NIVEL,PROVINCIA / POBLACIÓN,CARRETERA,DESCRIPCIÓN
70, 08:59 30/03/2018 ,  ,['PUERTO DE MONTAÑA / Nivel Rojo / 1545612'], ASTURIAS PENAFONTE ,  AS-12 ,"   NEVADA por METEOROLOGÍA ADVERSA con circulación difícil  en PUERTO DEL ACEBO:    - PUERTO DE MONTAÑA de la carretera   AS-12   a la altura de PENAFONTE (ASTURIAS) desde el  km 7 al  km 15 sentido AMBOS SENTIDOS Advertencia: PROHIBIDO CAMIONES Y ARTICULADOS, PROHIBIDO AUTOBUSES, OBLIGATORIO CADENAS O NEUMÁTICOS DE INVIERNO "
71, 08:17 30/03/2018 ,  ,['PUERTO DE MONTAÑA / Nivel Rojo / 1545505'], ASTURIAS POLA DE SOMIEDO ,  AS-227 ,"   NEVADA por METEOROLOGÍA ADVERSA con circulación difícil  en PUERTO DE SOMIEDO:    - PUERTO DE MONTAÑA de la carretera   AS-227   a la altura de POLA DE SOMIEDO (ASTURIAS) desde el  km 39 al  km 53 sentido AMBOS SENTIDOS Advertencia: PROHIBIDO CAMIONES Y ARTICULADOS, PROHIBIDO AUTOBUSES, OBLIGATORIO CADENAS O NEUMÁTICOS DE INVIERNO "
72, 08:01 30/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1540941'], SALAMANCA CANDELARIO ,  DSA-191 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   DSA-191   a la altura de CANDELARIO (SALAMANCA) desde el  km 4 al  km 8 sentido AMBOS SENTIDOS Advertencia: INTRANSITABLE 
73, 08:00 30/03/2018 , 23:59 30/03/2018 ,['RESTRICCIONES / Nivel Gris / 1403142'],   ,  Andalucía ,   RESTRICCIONES A VEHÍCULOS QUE NECESITAN AUTORIZACIÓN COMPLEMENTARIA por CIRCULACIÓN en:    - Andalucía.   - Aragón.   -  Principado de Asturias.   - Cantabria.   - Castilla y León.   - Castilla-La Mancha.   - Extremadura.   - Galicia.   -  Illes Balears.   - Canarias.   -  Comunidad de Madrid.   -  Región de Murcia.   -  Comunidad Foral de Navarra.   -  La Rioja.   - Comunitat Valenciana.  
74, 08:00 30/03/2018 , 23:59 30/03/2018 ,['RESTRICCIONES / Nivel Gris / 1402685'],   ,  Andalucía ,   RESTRICCIONES A MERCANCÍAS PELIGROSAS por CIRCULACIÓN en:    - Andalucía.   - Aragón.   -  Principado de Asturias.   - Cantabria.   - Castilla y León.   - Castilla-La Mancha.   - Extremadura.   - Galicia.   -  Illes Balears.   - Canarias.   -  Comunidad de Madrid.   -  Región de Murcia.   -  Comunidad Foral de Navarra.   -  La Rioja.   - Comunitat Valenciana.  
75, 07:10 30/03/2018 ,  ,['PUERTO DE MONTAÑA / Nivel Rojo / 1545600'], ASTURIAS TORGA ,  AS-212 ,"   NEVADA por METEOROLOGÍA ADVERSA con circulación difícil  en TORMALEO:    - PUERTO DE MONTAÑA de la carretera   AS-212   desde el  km 1  en TORGA (ASTURIAS) al  km 7 en SISTERNA (ASTURIAS) sentido AMBOS SENTIDOS Advertencia: PROHIBIDO CAMIONES Y ARTICULADOS, PROHIBIDO AUTOBUSES, OBLIGATORIO CADENAS O NEUMÁTICOS DE INVIERNO "
76, 07:09 30/03/2018 ,  ,['PUERTO DE MONTAÑA / Nivel Rojo / 1545599'], ASTURIAS BUSTANTIGO ,  AS-364 ,"   NEVADA por METEOROLOGÍA ADVERSA con circulación difícil  en LA MARTA:    - PUERTO DE MONTAÑA de la carretera   AS-364   a la altura de BUSTANTIGO (ASTURIAS) desde el  km 0.1 al  km 50 sentido AMBOS SENTIDOS Advertencia: PROHIBIDO CAMIONES Y ARTICULADOS, PROHIBIDO AUTOBUSES, OBLIGATORIO CADENAS O NEUMÁTICOS DE INVIERNO "
77, 07:08 30/03/2018 ,  ,['PUERTO DE MONTAÑA / Nivel Rojo / 1545598'], ASTURIAS VILLALAIN ,  AS-29 ,"   NEVADA por METEOROLOGÍA ADVERSA con circulación difícil  en POZO MUJERES MUERTAS:    - PUERTO DE MONTAÑA de la carretera   AS-29   a la altura de VILLALAIN (ASTURIAS) desde el  km 13 al  km 22 sentido AMBOS SENTIDOS Advertencia: PROHIBIDO AUTOBUSES, PROHIBIDO CAMIONES Y ARTICULADOS, OBLIGATORIO CADENAS O NEUMÁTICOS DE INVIERNO "
78, 07:08 30/03/2018 ,  ,['PUERTO DE MONTAÑA / Nivel Rojo / 1545597'], ASTURIAS VILLALAIN ,  AS-29 ,"   NEVADA por METEOROLOGÍA ADVERSA con circulación difícil  en POZO MUJERES MUERTAS:    - PUERTO DE MONTAÑA de la carretera   AS-29   a la altura de VILLALAIN (ASTURIAS) desde el  km 13 al  km 22 sentido AMBOS SENTIDOS Advertencia: PROHIBIDO AUTOBUSES, PROHIBIDO CAMIONES Y ARTICULADOS, OBLIGATORIO CADENAS O NEUMÁTICOS DE INVIERNO "
79, 07:04 30/03/2018 ,  ,['PUERTO DE MONTAÑA / Nivel Negro / 1545596'], ASTURIAS CENTENALES ,  AS-348 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación interrumpida  en CONNIO:    - PUERTO DE MONTAÑA de la carretera   AS-348   a la altura de CENTENALES (ASTURIAS) desde el  km 6 al  km 20 sentido AMBOS SENTIDOS Advertencia: INTRANSITABLE 
80, 06:25 30/03/2018 ,  ,['OTROS / Nivel Rojo / 1542127'], BIZKAIA  ,  BI-3950 ,   OBSTÁCULO FIJO con circulación difícil  en:    -  La carretera   BI-3950   en el  km 56 en  (BIZKAIA) hacia EIBAR 
81, 06:00 30/03/2018 , 23:00 30/03/2018 ,['RESTRICCIONES / Nivel Gris / 1416726'], MADRID MADRID ,  M-111 ,   RESTRICCIONES A MERCANCÍAS PELIGROSAS por CIRCULACIÓN en Túnel Barajas:    -  La carretera   M-111   a la altura de MADRID (MADRID) desde el  km 1.1 al  km 5 sentido AMBOS SENTIDOS 
82, 05:20 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545493'], VALENCIA/VALÈNCIA ALBORAYA ,  V-21 ,   OBSTÁCULO FIJO en:    -  La carretera   V-21   en el  km 18.014 en ALBORAYA (VALENCIA/VALÈNCIA) hacia valencia 
83, 03:30 30/03/2018 ,  ,['METEOROLÓGICO / Nivel Verde / 1545553'], LUGO NOGAIS (AS) ,  A-6 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación condicionada  en:    - La AUTOPISTA / AUTOVÍA  A-6   a la altura de NOGAIS (AS) (LUGO) desde el  km 438 al  km 432 sentido AMBOS SENTIDOS Advertencia: TRANSITABLE CON PRECAUCIÓN 
84, 03:03 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545582'], ALICANTE/ALACANT TORRES ,  N-332 ,   OBSTÁCULO FIJO en:    -  La carretera   N-332   en el  km 140.987 en TORRES (ALICANTE/ALACANT) hacia sur 
85, 02:40 30/03/2018 ,  ,['METEOROLÓGICO / Nivel Verde / 1545315'], ZAMORA REQUEJO ,  N-525 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación condicionada  en:    - La AUTOPISTA / AUTOVÍA  N-525   desde el  km 90  en REQUEJO (ZAMORA) al  km 115 en HEDRADAS (LAS) (ZAMORA) sentido AMBOS SENTIDOS Advertencia: TRANSITABLE CON PRECAUCIÓN 
86, 01:54 30/03/2018 ,  ,['OTROS / Nivel Gris / 1545579'], ALICANTE/ALACANT CAMPELLO (EL) ,  A-70 ,"   OBSTÁCULO FIJO en:    -  La carretera   A-70   en el  km 0.639 en CAMPELLO (EL) (ALICANTE/ALACANT) hacia Valencia, entrando al túnel de san juan "
87, 22:12 29/03/2018 ,  ,['OTROS / Nivel Gris / 1545561'], VALENCIA/VALÈNCIA ALBORAYA ,  V-21 ,   OBSTÁCULO FIJO en:    -  La carretera   V-21   en el  km 15.323 en ALBORAYA (VALENCIA/VALÈNCIA) hacia sagunt 
88, 22:05 29/03/2018 ,  ,['PUERTO DE MONTAÑA / Nivel Rojo / 1545557'], ASTURIAS VENTA (LA) ,  AS-15 ,"   NEVADA por METEOROLOGÍA ADVERSA con circulación difícil  en CERREDO:    - PUERTO DE MONTAÑA de la carretera   AS-15   desde el  km 107  en VENTA (LA) (ASTURIAS) al  km 115 en PRUIDA (LA) (ASTURIAS) sentido AMBOS SENTIDOS Advertencia: PROHIBIDO CAMIONES Y ARTICULADOS, PROHIBIDO AUTOBUSES, OBLIGATORIO CADENAS O NEUMÁTICOS DE INVIERNO "
89, 22:04 29/03/2018 ,  ,['PUERTO DE MONTAÑA / Nivel Rojo / 1545556'], ASTURIAS CENTENALES ,  AS-348 ,"   NEVADA por METEOROLOGÍA ADVERSA con circulación difícil  en CONNIO:    - PUERTO DE MONTAÑA de la carretera   AS-348   a la altura de CENTENALES (ASTURIAS) desde el  km 6 al  km 20 sentido AMBOS SENTIDOS Advertencia: PROHIBIDO CAMIONES Y ARTICULADOS, PROHIBIDO AUTOBUSES, OBLIGATORIO CADENAS O NEUMÁTICOS DE INVIERNO "
90, 22:01 29/03/2018 ,  ,['PUERTO DE MONTAÑA / Nivel Rojo / 1545476'], ASTURIAS MESTAS (LAS) ,  AS-213 ,"   NEVADA por METEOROLOGÍA ADVERSA con circulación difícil  en LEITARIEGOS:    - PUERTO DE MONTAÑA de la carretera   AS-213   desde el  km 25  en MESTAS (LAS) (ASTURIAS) al  km 35 en PUERTU (EL) (ASTURIAS) sentido AMBOS SENTIDOS Advertencia: PROHIBIDO CAMIONES Y ARTICULADOS, PROHIBIDO AUTOBUSES, OBLIGATORIO CADENAS O NEUMÁTICOS DE INVIERNO "
91, 10:00 29/03/2018 , 10:00 01/04/2018 ,['OTROS / Nivel Amarillo / 1543867'], CASTELLÓN/CASTELLÓ BENICASIM ,  N-340 ,   CAMBIO DE SENTIDO CERRADO por CIRCULACIÓN y ORDEN PÚBLICO con circulación irregular  en N-340:    - La CARRETERA NACIONAL  N-340   a la altura de BENICASIM (CASTELLÓN/CASTELLÓ) desde el  km 986.9 al  km 987.1 sentido AMBOS SENTIDOS Advertencia: TRANSITABLE CON PRECAUCIÓN 
92, 06:54 29/03/2018 ,  ,['OTROS / Nivel Negro / 1542208'], GIPUZKOA  ,  GI-3310 ,   OBSTÁCULO FIJO con circulación interrumpida  en:    -  La carretera   GI-3310   a la altura de  (GIPUZKOA) desde el  km 6 al  km 7 sentido CRECIENTE DE LA KILOMETRACIÓN hacia Leintz-Gatzaga 
93, 06:52 29/03/2018 ,  ,['OTROS / Nivel Negro / 1505230'], BIZKAIA LARRABETZU ,  BI-3102 ,   OBSTÁCULO FIJO con circulación interrumpida  en:    -  La carretera   BI-3102   en el  km 26 en LARRABETZU (BIZKAIA) hacia ASTOREKA 
94, 06:52 29/03/2018 ,  ,['OTROS / Nivel Negro / 1503965'], BIZKAIA  ,  BI-3152 ,   OBSTÁCULO FIJO con circulación interrumpida  en:    -  La carretera   BI-3152   en el  km 42 en  (BIZKAIA) hacia ARMINTZA 
95, 06:52 29/03/2018 ,  ,['OTROS / Nivel Rojo / 1489703'], GIPUZKOA GETARIA ,  N-634 ,   OBSTÁCULO FIJO con circulación difícil  en:    -  La carretera   N-634   en el  km 26 en GETARIA (GIPUZKOA) hacia SANTANDER 
96, 06:52 29/03/2018 ,  ,['OTROS / Nivel Rojo / 1462657'], GIPUZKOA  ,  GI-2630 ,   OBSTÁCULO FIJO con circulación difícil  en:    -  La carretera   GI-2630   en el  km 8 en  (GIPUZKOA) hacia URRETXU 
97, 15:12 28/03/2018 ,  ,['PUERTO DE MONTAÑA / Nivel Negro / 1537012'], BURGOS RIO DE LUNADA ,  BU-572 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación interrumpida  en LUNADA:    - PUERTO DE MONTAÑA de la carretera   BU-572   a la altura de RIO DE LUNADA (BURGOS) desde el  km 8.1 al  km 8.6 sentido AMBOS SENTIDOS Advertencia: INTRANSITABLE 
98, 19:52 27/03/2018 ,  ,['OTROS / Nivel Amarillo / 1543301'], ASTURIAS CANERO ,  N-634 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación irregular  en N-634:    - La CARRETERA NACIONAL  N-634   en el  km 497.2 en CANERO (ASTURIAS) sentido CRECIENTE DE LA KILOMETRACIÓN Advertencia: CORTE DE UN CARRIL 
99, 08:47 26/03/2018 ,  ,['EVENTOS / Nivel Rojo / 1541336'], HUELVA PUNTA UMBRIA ,  A-5050 ,   ACTIVIDADES (GRAN EVENTO) por FIESTAS con circulación difícil  en:    - La CARRETERA AUTONÓMICA  A-5050   a la altura de PUNTA UMBRIA (HUELVA) desde el  km 4 al  km 4.5 sentido AMBOS SENTIDOS hacia AMBOS Advertencia: CORTE TOTAL 
100, 12:59 25/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1533925'], SALAMANCA CANDELARIO ,  DSA-191 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   DSA-191   a la altura de CANDELARIO (SALAMANCA) desde el  km 8 al  km 10 sentido AMBOS SENTIDOS Advertencia: INTRANSITABLE 
101, 11:19 25/03/2018 ,  ,['OTROS / Nivel Negro / 1538266'], ASTURIAS ANZO ,  AS-117 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    - La CARRETERA AUTONÓMICA  AS-117   en el  km 30 en ANZO (ASTURIAS) sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
102, 13:15 23/03/2018 ,  ,['OTROS / Nivel Amarillo / 1539305'], JAÉN BAEZA ,  A-316 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación irregular  en A316:    - La CARRETERA AUTONÓMICA  A-316   a la altura de BAEZA (JAÉN) desde el  km 10.5 al  km 13.5 sentido CRECIENTE DE LA KILOMETRACIÓN Advertencia: TRANSFER 
103, 15:08 20/03/2018 ,  ,['OTROS / Nivel Negro / 1533040'], ÁVILA MORISCO ,  AV-901 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación interrumpida  en DESPRENDIMIENTO AV-900:    - La CARRETERA PROVINCIAL  AV-901   en el  km 12.15 en MORISCO (ÁVILA) sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
104, 11:39 20/03/2018 ,  ,['OTROS / Nivel Amarillo / 1523994'], SEVILLA DOS HERMANAS ,  A-4 ,   DESVÍO OPERATIVO por TRAMO EN OBRAS con circulación irregular  en:    - La AUTOPISTA / AUTOVÍA  A-4   a la altura de DOS HERMANAS (SEVILLA) desde el  km 549.7 al  km 551 sentido AMBOS SENTIDOS Advertencia: DESVÍO DEL TRAZADO DE CARRILES 
105, 10:03 18/03/2018 ,  ,['OTROS / Nivel Negro / 1533817'], JAÉN CASTILLO DE LOCUBIN ,  A-6050 ,   OBSTÁCULO FIJO por INUNDACIONES con circulación interrumpida  en:    -  La carretera   A-6050   a la altura de CASTILLO DE LOCUBIN (JAÉN) desde el  km 46.5 al  km 46.5 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
106, 07:49 18/03/2018 ,  ,['OTROS / Nivel Negro / 1533826'], MÁLAGA CUEVAS BAJAS ,  A-7201 ,   OBSTÁCULO FIJO por INUNDACIONES con circulación interrumpida  en:    -  La carretera   A-7201   a la altura de CUEVAS BAJAS (MÁLAGA) desde el  km 18.8 al  km 23.3 sentido AMBOS SENTIDOS Advertencia: INTRANSITABLE 
107, 17:36 16/03/2018 ,  ,['OTROS / Nivel Verde / 1533041'], ÁVILA MIJARES ,  AV-901 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación condicionada  en DESPRENDIMIENTO AV-900:    - La CARRETERA PROVINCIAL  AV-901   en el  km 21.9 en MIJARES (ÁVILA) sentido AMBOS SENTIDOS Advertencia: ESTRECHAMIENTO CARRILES 
108, 07:59 15/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1531023'], CÓRDOBA CAÑETE DE LAS TORRES ,  A-3125 ,   INUNDACIÓN por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   A-3125   en el  km 17.4 en CAÑETE DE LAS TORRES (CÓRDOBA) sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
109, 10:52 13/03/2018 ,  ,['OTROS / Nivel Negro / 1528904'], ÁVILA NAVATALGORDO ,  AV-901 ,   CARRETERA CERRADA EN AMBOS SENTIDOS por DESPRENDIMIENTOS con circulación interrumpida  en:    - La CARRETERA AUTONÓMICA  AV-901   a la altura de NAVATALGORDO (ÁVILA) desde el  km 12.128 al  km 12.153 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
110, 11:38 11/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1527002'], CÁDIZ GASTOR (EL) ,  A-374 ,   INUNDACIÓN por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   A-374   a la altura de GASTOR (EL) (CÁDIZ) desde el  km 6.3 al  km 11.5 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
111, 16:00 10/03/2018 ,  ,['OTROS / Nivel Verde / 1526919'], LUGO SOUTARIZ ,  LU-P-1801 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación condicionada  en:    -  La carretera   LU-P-1801   a la altura de SOUTARIZ (LUGO) desde el  km 7.5 al  km 7.6 sentido CRECIENTE DE LA KILOMETRACIÓN hacia OS PEARES Advertencia: FIRME EN MALAS CONDICIONES 
112, 11:24 09/03/2018 ,  ,['OTROS / Nivel Verde / 1525432'], LEÓN PUENTE DE DOMINGO FLOREZ ,  LE-164 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación condicionada  en:    - La CARRETERA LOCAL  LE-164   a la altura de PUENTE DE DOMINGO FLOREZ (LEÓN) desde el  km 0 al  km 43 sentido AMBOS SENTIDOS Advertencia: TRANSITABLE CON PRECAUCIÓN 
113, 15:20 08/03/2018 ,  ,['OTROS / Nivel Negro / 1524712'], CÁDIZ ZAHARA ,  CA-9104 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   CA-9104   en el  km 14 en ZAHARA (CÁDIZ) sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
114, 18:02 06/03/2018 ,  ,['PUERTO DE MONTAÑA / Nivel Negro / 1361025'], CANTABRIA CONCHA (LA) ,  CA-643 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación interrumpida  en PUERTO DE LUNADA:    - PUERTO DE MONTAÑA de la carretera   CA-643   a la altura de CONCHA (LA) (CANTABRIA) desde el  km 5 al  km 14.3 sentido AMBOS SENTIDOS Advertencia: INTRANSITABLE 
115, 09:39 06/03/2018 ,  ,['OTROS / Nivel Negro / 1522917'], MÁLAGA ARCHEZ ,  MA-4108 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   MA-4108   a la altura de ARCHEZ (MÁLAGA) desde el  km 0 al  km 6.5 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
116, 20:57 04/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1521307'], CÁDIZ OLVERA ,  CA-9101 ,   INUNDACIÓN por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   CA-9101   a la altura de OLVERA (CÁDIZ) desde el  km 0 al  km 11 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
117, 16:50 28/02/2018 ,  ,['PUERTO DE MONTAÑA / Nivel Negro / 1517549'], GRANADA SIERRA NEVADA ,  A-395 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación interrumpida  en a395:    - PUERTO DE MONTAÑA de la carretera   A-395   a la altura de SIERRA NEVADA (GRANADA) desde el  km 32 al  km 38 sentido AMBOS SENTIDOS Advertencia: INTRANSITABLE 
118, 07:17 05/02/2018 ,  ,['OTROS / Nivel Rojo / 1149564'], HUESCA ESCALONA ,  HU-631 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación difícil  en:    - La CARRETERA LOCAL  HU-631   desde el  km 5  en ESCALONA (HUESCA) al  km 13 en NERIN (HUESCA) sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
119, 11:42 30/01/2018 ,  ,['OTROS / Nivel Negro / 1480924'], GRANADA SIERRA NEVADA ,  A-4025 ,   CARRETERA CERRADA DE FORMA PERMANENTE POR INVIERNO por METEOROLOGÍA ADVERSA con circulación interrumpida  en EL DORNAJO A LAS SABINAS:    -  La carretera   A-4025   a la altura de SIERRA NEVADA (GRANADA) desde el  km 0 al  km 7.6 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
120, 04:25 30/01/2018 ,  ,['OTROS / Nivel Verde / 1521661'], ALICANTE/ALACANT CALP ,  N-332 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación condicionada  en:    - La CARRETERA NACIONAL  N-332   a la altura de CALP (ALICANTE/ALACANT) desde el  km 165.02 al  km 164.98 sentido DECRECIENTE DE LA KILOMETRACIÓN hacia ALICANTE Advertencia: ESTRECHAMIENTO CARRIL DERECHO 
121, 11:38 09/01/2018 ,  ,['OTROS / Nivel Gris / 1450156'], SEVILLA DOS HERMANAS ,  N-IV ,   CARRIL EN SENTIDO CONTRARIO por OBRAS en:    - La CARRETERA NACIONAL  N-IV   a la altura de DOS HERMANAS (SEVILLA) desde el  km 551.5 al  km 552.5 sentido CRECIENTE DE LA KILOMETRACIÓN hacia CÁDIZ Advertencia: ABIERTO CARRIL EN SENTIDO CONTRARIO 
122, 00:00 01/01/2018 , 23:59 31/12/2018 ,['RESTRICCIONES / Nivel Gris / 1416626'], CÁDIZ CADIZ ,  CA-36 ,   RESTRICCIONES A MERCANCÍAS PELIGROSAS por CIRCULACIÓN en Puente José León de Carranza:    -  La carretera   CA-36   a la altura de CADIZ (CÁDIZ) desde el  km 2.3 al  km 6 sentido AMBOS SENTIDOS 
123, 00:00 01/01/2018 ,  ,['OTROS / Nivel Negro / 1521883'], SANTA CRUZ DE TENERIFE BUENAVISTA DEL NORTE ,  TF-445 ,   CARRETERA CORTADA A VEHÍCULOS EN TRÁNSITO por RESTRICCIONES IMPUESTAS EN LA CALZADA con circulación interrumpida  en:    - La CARRETERA LOCAL  TF-445   desde el  km 2.5  en BUENAVISTA DEL NORTE (SANTA CRUZ DE TENERIFE) al  km 9.24 en TENO (SANTA CRUZ DE TENERIFE) sentido AMBOS SENTIDOS 
124, 00:00 06/11/2017 ,  ,['PUERTO DE MONTAÑA / Nivel Negro / 1529288'], NAVARRA OCHAGAVIA ,  NA-2011 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación interrumpida  en LARRAU:    - PUERTO DE MONTAÑA de la carretera   NA-2011   a la altura de OCHAGAVIA (NAVARRA) desde el  km 7 al  km 20 sentido AMBOS SENTIDOS Advertencia: INTRANSITABLE 
125, 09:08 14/12/2016 ,  ,['OTROS / Nivel Negro / 1084625'], OURENSE SAN VICENTE DE LEIRA ,  OU-0807 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    - La CARRETERA PROVINCIAL  OU-0807   en el  km 7.3 en SAN VICENTE DE LEIRA (OURENSE) sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
