,INICIO,FIN,TIPO / NIVEL,PROVINCIA / POBLACIÓN,CARRETERA,DESCRIPCIÓN
72, 02:47 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1533867'], GRANADA FUENTE VAQUEROS ,  GR-3401 ,   INUNDACIÓN por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   GR-3401   en el  km 6 en FUENTE VAQUEROS (GRANADA) sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
73, 02:51 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1533804'], GRANADA HUESCAR ,  A-4301 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   A-4301   a la altura de HUESCAR (GRANADA) desde el  km 10 al  km 38 sentido AMBOS SENTIDOS Advertencia: INTRANSITABLE 
74, 02:58 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1533869'], GRANADA HUETOR-TAJAR ,  GR-4400 ,   INUNDACIÓN por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   GR-4400   en el  km 2 en HUETOR-TAJAR (GRANADA) sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
75, 00:47 17/03/2018 ,  ,['OTROS / Nivel Verde / 1532476'], GRANADA LOJA ,  A-92 ,   OBSTÁCULO FIJO por ACCIDENTE con circulación condicionada  en:    -  La carretera   A-92   a la altura de LOJA (GRANADA) desde el  km 187 al  km 188 sentido DECRECIENTE DE LA KILOMETRACIÓN hacia SEVILLA Advertencia: CARRIL DERECHO CERRADO 
76, 11:42 30/01/2018 ,  ,['OTROS / Nivel Negro / 1480924'], GRANADA SIERRA NEVADA ,  A-4025 ,   CARRETERA CERRADA DE FORMA PERMANENTE POR INVIERNO por METEOROLOGÍA ADVERSA con circulación interrumpida  en EL DORNAJO A LAS SABINAS:    -  La carretera   A-4025   a la altura de SIERRA NEVADA (GRANADA) desde el  km 0 al  km 7.6 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
77, 16:50 28/02/2018 ,  ,['PUERTO DE MONTAÑA / Nivel Negro / 1517549'], GRANADA SIERRA NEVADA ,  A-395 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación interrumpida  en a395:    - PUERTO DE MONTAÑA de la carretera   A-395   a la altura de SIERRA NEVADA (GRANADA) desde el  km 32 al  km 38 sentido AMBOS SENTIDOS Advertencia: INTRANSITABLE 
78, 00:00 02/03/2018 ,  ,['OTROS / Nivel Amarillo / 1520580'], HUESCA ABIZANDA ,  A-138 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación irregular  en:    - La CARRETERA AUTONÓMICA  A-138   a la altura de ABIZANDA (HUESCA) desde el  km 27 al  km 28 sentido CRECIENTE DE LA KILOMETRACIÓN Advertencia: CORTE DE UN CARRIL 
79, 07:17 05/02/2018 ,  ,['OTROS / Nivel Rojo / 1149564'], HUESCA ESCALONA ,  HU-631 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación difícil  en:    - La CARRETERA LOCAL  HU-631   desde el  km 5  en ESCALONA (HUESCA) al  km 13 en NERIN (HUESCA) sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
80, 14:19 28/02/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1519242'], HUESCA TORLA ,  A-135 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación interrumpida  en PARQUE NACIONAL DE ORDESA:    - La CARRETERA AUTONÓMICA  A-135   a la altura de TORLA (HUESCA) desde el  km 4.5 al  km 10 sentido AMBOS SENTIDOS Advertencia: INTRANSITABLE 
81, 10:03 18/03/2018 ,  ,['OTROS / Nivel Negro / 1533817'], JAÉN CASTILLO DE LOCUBIN ,  A-6050 ,   OBSTÁCULO FIJO por INUNDACIONES con circulación interrumpida  en:    -  La carretera   A-6050   a la altura de CASTILLO DE LOCUBIN (JAÉN) desde el  km 46.5 al  km 46.5 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
82, 20:14 12/03/2018 ,  ,['OTROS / Nivel Verde / 1528452'], LEÓN GERAS ,  LE-473 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación condicionada  en:    - La CARRETERA LOCAL  LE-473   a la altura de GERAS (LEÓN) desde el  km 20.7 al  km 20.7 sentido AMBOS SENTIDOS Advertencia: TRANSITABLE CON PRECAUCIÓN 
83, 22:35 10/03/2018 ,  ,['OTROS / Nivel Verde / 1526826'], LEÓN GERAS ,  LE-473 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación condicionada  en:    - La CARRETERA LOCAL  LE-473   a la altura de GERAS (LEÓN) desde el  km 8.3 al  km 8.9 sentido AMBOS SENTIDOS Advertencia: TRANSITABLE CON PRECAUCIÓN 
84, 22:30 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Verde / 1534203'], LEÓN MANZANAL DEL PUERTO ,  A-6 ,"   NIEBLA por METEOROLOGÍA ADVERSA con circulación condicionada  en:    - La AUTOPISTA / AUTOVÍA  A-6   a la altura de MANZANAL DEL PUERTO (LEÓN) desde el  km 345 al  km 350 sentido AMBOS SENTIDOS Advertencia: VISIBILIDAD REDUCIDA, TRANSITABLE CON PRECAUCIÓN "
85, 11:24 09/03/2018 ,  ,['OTROS / Nivel Verde / 1525432'], LEÓN PUENTE DE DOMINGO FLOREZ ,  LE-164 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación condicionada  en:    - La CARRETERA LOCAL  LE-164   a la altura de PUENTE DE DOMINGO FLOREZ (LEÓN) desde el  km 0 al  km 43 sentido AMBOS SENTIDOS Advertencia: TRANSITABLE CON PRECAUCIÓN 
86, 20:16 12/03/2018 ,  ,['OTROS / Nivel Verde / 1528455'], LEÓN VILLABLINO ,  LE-497 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación condicionada  en LE-497:    - La CARRETERA LOCAL  LE-497   a la altura de VILLABLINO (LEÓN) desde el  km 2 al  km 4 sentido AMBOS SENTIDOS Advertencia: TRANSITABLE CON PRECAUCIÓN 
87, 16:26 15/03/2018 ,  ,['METEOROLÓGICO / Nivel Gris / 1531666'], LEÓN VILLASELAN ,  LE-5507 ,   INUNDACIÓN por METEOROLOGÍA ADVERSA en LE-5705:    -  La carretera   LE-5507   desde el  km 0  en VILLASELAN (LEÓN) al  km 3.3 en VILLAMARTIN DE DON SANCHO (LEÓN) sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
88, 19:44 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Amarillo / 1534174'], LLEIDA ALT ÀNEU ,  C-28 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación irregular  en:    -  La carretera   C-28   a la altura de ALT ÀNEU (LLEIDA) desde el  km 41.95 al  km 51.87 sentido AMBOS SENTIDOS 
89, 10:04 28/02/2018 ,  ,['METEOROLÓGICO / Nivel Amarillo / 1518825'], LLEIDA CAMARASA ,  C-13 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación irregular  en:    -  La carretera   C-13   a la altura de CAMARASA (LLEIDA) desde el  km 46.85 al  km 99.38 sentido AMBOS SENTIDOS 
90, 13:55 25/02/2018 ,  ,['OTROS / Nivel Verde / 1516558'], LLEIDA RIU DE CERDANYA ,  C-16 ,   CARRIL DE VEHÍCULO(S) LENTO(S) CERRADO(S) por RESTRICCIONES IMPUESTAS EN LA CALZADA con circulación condicionada  en:    -  La carretera   C-16   a la altura de RIU DE CERDANYA (LLEIDA) desde el  km 131 al  km 131.4 sentido SUR hacia BAGÀ 
91, 18:33 15/03/2018 ,  ,['METEOROLÓGICO / Nivel Verde / 1530854'], LUGO PEDRAFITA DO CEBREIRO ,  LU-633 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación condicionada  en:    -  La carretera   LU-633   a la altura de PEDRAFITA DO CEBREIRO (LUGO) desde el  km 0 al  km 20 sentido AMBOS SENTIDOS 
92, 16:00 10/03/2018 ,  ,['OTROS / Nivel Verde / 1526919'], LUGO SOUTARIZ ,  LU-P-1801 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación condicionada  en:    -  La carretera   LU-P-1801   a la altura de SOUTARIZ (LUGO) desde el  km 7.5 al  km 7.6 sentido CRECIENTE DE LA KILOMETRACIÓN hacia OS PEARES Advertencia: FIRME EN MALAS CONDICIONES 
93, 06:00 18/03/2018 , 23:00 18/03/2018 ,['RESTRICCIONES / Nivel Gris / 1416714'], MADRID MADRID ,  M-111 ,   RESTRICCIONES A MERCANCÍAS PELIGROSAS por CIRCULACIÓN en Túnel Barajas:    -  La carretera   M-111   a la altura de MADRID (MADRID) desde el  km 1.1 al  km 5 sentido AMBOS SENTIDOS 
94, 21:10 18/03/2018 ,  ,['OTROS / Nivel Verde / 1530143'], MADRID MOLAR (EL) ,  A-1 ,   CARRIL EN SENTIDO CONTRARIO por CIRCULACIÓN con circulación condicionada  en:    - La AUTOPISTA / AUTOVÍA  A-1   desde el  km 45  en MOLAR (EL) (MADRID) al  km 23 en ALCOBENDAS (MADRID) sentido DECRECIENTE DE LA KILOMETRACIÓN 
95, 09:39 06/03/2018 ,  ,['OTROS / Nivel Negro / 1522917'], MÁLAGA ARCHEZ ,  MA-4108 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   MA-4108   a la altura de ARCHEZ (MÁLAGA) desde el  km 0 al  km 6.5 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
96, 07:49 18/03/2018 ,  ,['OTROS / Nivel Negro / 1533826'], MÁLAGA CUEVAS BAJAS ,  A-7201 ,   OBSTÁCULO FIJO por INUNDACIONES con circulación interrumpida  en:    -  La carretera   A-7201   a la altura de CUEVAS BAJAS (MÁLAGA) desde el  km 18.8 al  km 23.3 sentido AMBOS SENTIDOS Advertencia: INTRANSITABLE 
97, 15:37 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Rojo / 1533947'], NAVARRA ISABA/IZABA ,  NA-137 ,"   NEVADA por METEOROLOGÍA ADVERSA con circulación difícil  en:    -  La carretera   NA-137   en el  km 50 en ISABA/IZABA (NAVARRA) sentido CRECIENTE DE LA KILOMETRACIÓN hacia FRANCIA Advertencia: OBLIGATORIO CADENAS O NEUMÁTICOS DE INVIERNO, OBLIGATORIO CADENAS O NEUMÁTICOS DE INVIERNO, PROHIBIDO AUTOBUSES, PROHIBIDO CAMIONES Y ARTICULADOS "
98, 00:00 06/11/2017 ,  ,['PUERTO DE MONTAÑA / Nivel Negro / 1529288'], NAVARRA OCHAGAVIA ,  NA-2011 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación interrumpida  en LARRAU:    - PUERTO DE MONTAÑA de la carretera   NA-2011   a la altura de OCHAGAVIA (NAVARRA) desde el  km 7 al  km 20 sentido AMBOS SENTIDOS Advertencia: INTRANSITABLE 
99, 07:29 16/03/2018 ,  ,['METEOROLÓGICO / Nivel Amarillo / 1532090'], OURENSE CASAIO ,  OU-122 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación irregular  en:    -  La carretera   OU-122   a la altura de CASAIO (OURENSE) desde el  km 20 al  km 26.5 sentido AMBOS SENTIDOS Advertencia: PROHIBIDO CAMIONES Y ARTICULADOS 
100, 09:08 14/12/2016 ,  ,['OTROS / Nivel Negro / 1084625'], OURENSE SAN VICENTE DE LEIRA ,  OU-0807 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    - La CARRETERA PROVINCIAL  OU-0807   en el  km 7.3 en SAN VICENTE DE LEIRA (OURENSE) sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
101, 13:36 08/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1524892']," PALMAS, LAS TAURITO ",  GC-500 ,"   AVALANCHAS por METEOROLOGÍA ADVERSA con circulación interrumpida  en GC-500:    -  La carretera   GC-500   a la altura de TAURITO (PALMAS, LAS) desde el  km 42 al  km 51 sentido AMBOS SENTIDOS "
102, 12:43 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Rojo / 1486864'], SALAMANCA CANDELARIO ,  DSA-191 ,"   HIELO por METEOROLOGÍA ADVERSA con circulación difícil  en:    -  La carretera   DSA-191   a la altura de CANDELARIO (SALAMANCA) desde el  km 0 al  km 8 sentido AMBOS SENTIDOS Advertencia: PROHIBIDO CAMIONES Y ARTICULADOS, PROHIBIDO AUTOBUSES, OBLIGATORIO CADENAS O NEUMÁTICOS DE INVIERNO "
103, 12:51 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1533925'], SALAMANCA CANDELARIO ,  DSA-191 ,   NEVADA por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    -  La carretera   DSA-191   a la altura de CANDELARIO (SALAMANCA) desde el  km 8 al  km 10 sentido AMBOS SENTIDOS Advertencia: INTRANSITABLE 
104, 07:21 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Rojo / 1523811'], SALAMANCA HOYA (LA) ,  DSA-180 ,"   NEVADA por METEOROLOGÍA ADVERSA con circulación difícil  en:    -  La carretera   DSA-180   a la altura de HOYA (LA) (SALAMANCA) desde el  km 0 al  km 9.5 sentido AMBOS SENTIDOS Advertencia: PROHIBIDO CAMIONES Y ARTICULADOS, PROHIBIDO AUTOBUSES, OBLIGATORIO CADENAS O NEUMÁTICOS DE INVIERNO "
105, 00:00 01/01/2018 ,  ,['OTROS / Nivel Negro / 1521883'], SANTA CRUZ DE TENERIFE BUENAVISTA DEL NORTE ,  TF-445 ,   CARRETERA CORTADA A VEHÍCULOS EN TRÁNSITO por RESTRICCIONES IMPUESTAS EN LA CALZADA con circulación interrumpida  en:    - La CARRETERA LOCAL  TF-445   desde el  km 2.5  en BUENAVISTA DEL NORTE (SANTA CRUZ DE TENERIFE) al  km 9.24 en TENO (SANTA CRUZ DE TENERIFE) sentido AMBOS SENTIDOS 
106, 16:04 20/10/2017 ,  ,['OTROS / Nivel Negro / 1530386'], SANTA CRUZ DE TENERIFE PUNTA PRIETA ,  TF-616 ,   OBSTÁCULO FIJO por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    - La CARRETERA LOCAL  TF-616   a la altura de PUNTA PRIETA (SANTA CRUZ DE TENERIFE) desde el  km 2 al  km 2.3 sentido AMBOS SENTIDOS Advertencia: CORTE TOTAL 
107, 14:04 18/03/2018 ,  ,['OTROS / Nivel Rojo / 1534001'], SEVILLA DOS HERMANAS ,  A-4 ,   SALIDA CERRADA por OBRAS con circulación difícil  en Salida 549:    - SALIDA de la carretera   A-4   en el  km 550 en DOS HERMANAS (SEVILLA) sentido DECRECIENTE DE LA KILOMETRACIÓN hacia Sevilla Advertencia: CORTE TOTAL 
108, 17:52 07/03/2018 ,  ,['OTROS / Nivel Amarillo / 1523994'], SEVILLA DOS HERMANAS ,  A-4 ,   DESVÍO OPERATIVO por TRAMO EN OBRAS con circulación irregular  en:    - La AUTOPISTA / AUTOVÍA  A-4   a la altura de DOS HERMANAS (SEVILLA) desde el  km 549.7 al  km 551 sentido AMBOS SENTIDOS Advertencia: DESVÍO DEL TRAZADO DE CARRILES 
109, 11:38 09/01/2018 ,  ,['OTROS / Nivel Gris / 1450156'], SEVILLA DOS HERMANAS ,  N-IV ,   CARRIL EN SENTIDO CONTRARIO por OBRAS en:    - La CARRETERA NACIONAL  N-IV   a la altura de DOS HERMANAS (SEVILLA) desde el  km 551.5 al  km 552.5 sentido CRECIENTE DE LA KILOMETRACIÓN hacia CÁDIZ Advertencia: ABIERTO CARRIL EN SENTIDO CONTRARIO 
110, 02:11 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Negro / 1533800'], SEVILLA MORON DE LA FRONTERA ,  SE-7204 ,   INUNDACIÓN por METEOROLOGÍA ADVERSA con circulación interrumpida  en:    - La CARRETERA LOCAL  SE-7204   a la altura de MORON DE LA FRONTERA (SEVILLA) desde el  km 0 al  km 16.8 sentido DECRECIENTE DE LA KILOMETRACIÓN Advertencia: CORTE TOTAL 
111, 09:30 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Amarillo / 1533834'], SEVILLA PRUNA ,  A-363 ,   INUNDACIÓN por METEOROLOGÍA ADVERSA con circulación irregular  en:    -  La carretera   A-363   a la altura de PRUNA (SEVILLA) desde el  km 0 al  km 20 sentido AMBOS SENTIDOS Advertencia: CONDICIONES DIFÍCILES CIRCULACIÓN 
112, 01:25 18/03/2018 ,  ,['METEOROLÓGICO / Nivel Amarillo / 1533797'], SEVILLA PUEBLA DE CAZALLA (LA) ,  A-92 ,   INUNDACIÓN por METEOROLOGÍA ADVERSA con circulación irregular  en:    - La CARRETERA AUTONÓMICA  A-92   a la altura de PUEBLA DE CAZALLA (LA) (SEVILLA) desde el  km 68 al  km 75 sentido CRECIENTE DE LA KILOMETRACIÓN Advertencia: FIRME EN MALAS CONDICIONES 
113, 07:51 23/02/2018 ,  ,['RETENCIÓN / CONGESTIÓN / Nivel Amarillo / 1515146'], TARRAGONA SANT CARLES DE LA RAPITA ,  C-16 ,   RETENCIÓN / CONGESTIÓN por CIRCULACIÓN con circulación irregular  en:    -  La carretera   C-16   a la altura de SANT CARLES DE LA RAPITA (TARRAGONA) desde el  km 12 al  km 12.6 sentido SUR hacia BARCELONA 
114, 17:14 18/03/2018 ,  ,['OTROS / Nivel Gris / 1534069'], VALENCIA/VALÈNCIA ALBORAYA ,  V-21 ,"   OBSTÁCULO FIJO en:    -  La carretera   V-21   en el  km 15.323 en ALBORAYA (VALENCIA/VALÈNCIA) hacia valencia, salida de port saplaya "
115, 12:24 18/03/2018 ,  ,['OTROS / Nivel Gris / 1533974'], VALENCIA/VALÈNCIA ALGIMIA DE ALFARA ,  A-23 ,   OBSTÁCULO FIJO en:    -  La carretera   A-23   en el  km 16.028 en ALGIMIA DE ALFARA (VALENCIA/VALÈNCIA) hacia sagunt 
116, 22:02 18/03/2018 ,  ,['OTROS / Nivel Gris / 1534288'], VALENCIA/VALÈNCIA CONTRERAS ,  A-3 ,   OBSTÁCULO FIJO en:    -  La carretera   A-3   en el  km 247.378 en CONTRERAS (VALENCIA/VALÈNCIA) hacia valencia 
117, 21:45 18/03/2018 ,  ,['OTROS / Nivel Gris / 1534283'], VALENCIA/VALÈNCIA CORBERA ,  CV-510 ,   OBSTÁCULO FIJO en:    -  La carretera   CV-510   en el  km 7.698 en CORBERA (VALENCIA/VALÈNCIA) 
118, 10:18 18/03/2018 ,  ,['OTROS / Nivel Gris / 1533946'], VALENCIA/VALÈNCIA MASIA DEL JUEZ ,  A-7 ,   OBSTÁCULO FIJO en:    -  La carretera   A-7   en el  km 343.484 en MASIA DEL JUEZ (VALENCIA/VALÈNCIA) hacia alicante 
119, 20:50 18/03/2018 ,  ,['OTROS / Nivel Gris / 1534266'], VALENCIA/VALÈNCIA REAL DE GANDIA ,  CV-686 ,   OBSTÁCULO FIJO en:    -  La carretera   CV-686   en el  km 1.525 en REAL DE GANDIA (VALENCIA/VALÈNCIA) 
120, 18:53 18/03/2018 ,  ,['OTROS / Nivel Gris / 1534162'], VALENCIA/VALÈNCIA TAVERNES DE LA VALLDIGNA ,  CV-50 ,   OBSTÁCULO FIJO en:    -  La carretera   CV-50   en el  km 2.363 en TAVERNES DE LA VALLDIGNA (VALENCIA/VALÈNCIA) hacia simat / altura de Asfaltos Chodar 
121, 21:35 18/03/2018 ,  ,['OTROS / Nivel Gris / 1534195'], VALENCIA/VALÈNCIA VILELLA ,  CV-570 ,   OBSTÁCULO FIJO en:    -  La carretera   CV-570   en el  km 1.471 en VILELLA (VALENCIA/VALÈNCIA) hacia desvio de alzira 
122, 14:47 15/03/2018 ,  ,['OTROS / Nivel Verde / 1531538'], ZAMORA CHANOS ,  A-52 ,   CARRIL(ES) DERECHO(S) CERRADO(S) por CALZADA MAL ESTADO con circulación condicionada  en:    - La AUTOPISTA / AUTOVÍA  A-52   a la altura de CHANOS (ZAMORA) desde el  km 108 al  km 106.8 sentido DECRECIENTE DE LA KILOMETRACIÓN Advertencia: CARRIL DERECHO CERRADO 
123, 15:00 18/03/2018 , 23:59 18/03/2018 ,['RESTRICCIONES / Nivel Gris / 1519698'],   ,  Andalucía ,   RESTRICCIONES A VEHÍCULOS QUE NECESITAN AUTORIZACIÓN COMPLEMENTARIA por CIRCULACIÓN en:    - Andalucía.   - Aragón.   -  Principado de Asturias.   - Cantabria.   - Castilla y León.   - Castilla-La Mancha.   - Extremadura.   - Galicia.   -  Illes Balears.   - Canarias.   -  Comunidad de Madrid.   -  Comunidad Foral de Navarra.   -  La Rioja.  
124, 15:00 18/03/2018 , 23:59 18/03/2018 ,['RESTRICCIONES / Nivel Gris / 1519695'],   ,  Andalucía ,   RESTRICCIONES A MERCANCÍAS PELIGROSAS por CIRCULACIÓN en:    - Andalucía.   - Aragón.   -  Principado de Asturias.   - Cantabria.   - Castilla y León.   - Castilla-La Mancha.   - Extremadura.   - Galicia.   -  Illes Balears.   - Canarias.   -  Comunidad de Madrid.   -  Comunidad Foral de Navarra.   -  La Rioja.  
